Date,Rate,rate_change,time_diff,avg_GDP,avg_Exchange_Rate,avg_Gilt_Yield,avg_Unemployment,avg_CPIH,avg_CCI
1997-05-06,6.25,1,,,,,,,102.8033
1997-06-06,6.5,1,31 days,,,,,,102.88573333333333
1997-07-10,6.75,1,34 days,,,,,,102.91066666666666
1997-08-07,7.0,1,28 days,,,,,,102.8913
1997-11-06,7.25,1,91 days,,,,,,102.95896666666665
1998-06-04,7.5,1,210 days,,,,,,102.45916666666666
1998-10-08,7.25,-1,126 days,,,,,,101.12153333333333
1998-11-05,6.75,-1,28 days,,,,,,101.17139999999999
1998-12-10,6.25,-1,35 days,,,,,,101.3177
1999-01-07,6.0,-1,28 days,,,,,,101.53836666666666
1999-02-04,5.5,-1,28 days,,,,,,101.79973333333334
1999-04-08,5.25,-1,63 days,,,,,,102.34553333333334
1999-06-10,5.0,-1,63 days,,,,,,102.52706666666666
1999-09-08,5.25,1,90 days,,,,,,102.60556666666666
1999-11-04,5.5,1,57 days,,,,,,102.75010000000002
2000-01-13,5.75,1,70 days,,,,,,103.02773333333333
2000-02-10,6.0,1,28 days,,,,,,103.01503333333334
2001-02-08,5.75,-1,364 days,,,,,,102.7973
2001-04-05,5.5,-1,56 days,,,,,,102.83273333333334
2001-05-10,5.25,-1,35 days,,,,,,102.8213
2001-08-02,5.0,-1,84 days,,,,,,102.7317
2001-09-18,4.75,-1,47 days,,,,,,102.51463333333334
2001-10-04,4.5,-1,16 days,,,,,,102.24066666666666
2001-11-08,4.0,-1,35 days,,,,,,102.11893333333335
2003-02-06,3.75,-1,455 days,,,,,,101.48239999999998
2003-07-10,3.5,-1,154 days,,,,,,101.27113333333334
2003-11-06,3.75,1,119 days,,,,,,101.28403333333334
2004-02-05,4.0,1,91 days,,,,,,101.30656666666668
2004-05-06,4.25,1,91 days,,,,,,101.2451
2004-06-10,4.5,1,35 days,,,,,,101.07463333333334
2004-08-05,4.75,1,56 days,,,,,,100.87519999999999
2005-08-04,4.5,-1,364 days,,,,,,101.33796666666667
2006-08-03,4.75,1,364 days,,,,,,100.8938
2006-11-09,5.0,1,98 days,,,,,,101.05460000000001
2007-01-11,5.25,1,63 days,,,,,,100.8324
2007-05-10,5.5,1,119 days,,,,,,100.95876666666668
2007-07-05,5.75,1,56 days,,,,,,101.28476666666666
2007-12-06,5.5,-1,154 days,,,,,,100.92400000000002
2008-02-07,5.25,-1,63 days,,,,,,100.31237333333335
2008-04-10,5.0,-1,63 days,,,,,,99.18249333333331
2008-10-08,4.5,-1,181 days,,,,,,96.0915
2008-11-06,3.0,-1,29 days,,,,,,96.13316333333334
2008-12-04,2.0,-1,28 days,,,,,,96.03128666666667
2009-01-08,1.5,-1,35 days,,,,,,95.82642666666668
2009-02-05,1.0,-1,28 days,,,,,,95.72248333333333
2009-03-05,0.5,-1,28 days,,,,,,95.90610666666667
2016-08-04,0.25,-1,2709 days,,,,,,101.02539999999999
2017-11-02,0.5,1,455 days,,,,,,100.54626666666667
2018-08-02,0.75,1,273 days,,,,,,101.10693333333332
2020-03-11,0.25,-1,587 days,,,,,,100.27320666666667
2020-03-19,0.1,-1,8 days,,,,,,100.27320666666667
2021-12-16,0.25,1,637 days,,,,,,100.38412
2022-02-03,0.5,1,49 days,,,,,,98.80580333333334
2022-03-17,0.75,1,42 days,,,,,,97.47451333333333
2022-05-05,1.0,1,49 days,,,,,,94.86604999999999
2022-06-16,1.25,1,42 days,,,,,,94.05127999999998
2022-08-04,1.75,1,49 days,,,,,,93.12925
2022-09-22,2.25,1,49 days,,,,,,92.70112
2022-11-03,3.0,1,42 days,,,,,,92.45041333333332
2022-12-15,3.5,1,42 days,,,,,,92.75981333333334
2023-02-02,4.0,1,49 days,,,,,,93.72943666666667
2023-03-23,4.25,1,49 days,,,,,,94.44953666666667
2023-05-11,4.5,1,49 days,,,,,,96.30756666666666
2023-06-22,5.0,1,42 days,,,,,,97.08905666666665
2023-08-03,5.25,1,42 days,,,,,,97.73474666666668
2024-08-01,5.0,-1,364 days,,,,,,100.10056666666667
2024-11-07,4.75,-1,98 days,,,,,,99.1413
2025-02-06,4.5,-1,91 days,,,,,,
